日期,小时,预警等级,预测价差(元/MWh),是否预警,class_code,实际价差(元/MWh),方向核对,套利时机,套利结果,套利盈亏(元/MWh)
2026-07-31,00:00,正常,,否,2,43.9,未出手,观望,未出手,0.0
2026-07-31,01:00,正常,,否,2,23.6,未出手,观望,未出手,0.0
2026-07-31,02:00,正常,,否,2,15.8,未出手,观望,未出手,0.0
2026-07-31,03:00,正常,,否,2,34.5,未出手,观望,未出手,0.0
2026-07-31,04:00,正常,,否,2,20.3,未出手,观望,未出手,0.0
2026-07-31,05:00,正常,,否,2,21.1,未出手,观望,未出手,0.0
2026-07-31,06:00,正常,,否,2,18.3,未出手,观望,未出手,0.0
2026-07-31,07:00,正常,,否,2,44.2,未出手,观望,未出手,0.0
2026-07-31,08:00,正常,,否,2,30.9,未出手,观望,未出手,0.0
2026-07-31,09:00,正常,,否,2,57.5,未出手,观望,错过 +57.5,0.0
2026-07-31,10:00,正常,,否,2,80.1,未出手,观望,错过 +80.1,0.0
2026-07-31,11:00,正常,,否,2,121.5,未出手,观望,错过 +121.5,0.0
2026-07-31,12:00,正常,,否,2,212.2,未出手,观望,错过 +212.2,0.0
2026-07-31,13:00,正常,,否,2,96.7,未出手,观望,错过 +96.7,0.0
2026-07-31,14:00,正常,,否,2,31.0,未出手,观望,未出手,0.0
2026-07-31,15:00,正常,,否,2,45.6,未出手,观望,未出手,0.0
2026-07-31,16:00,正常,,否,2,96.0,未出手,观望,错过 +96.0,0.0
2026-07-31,17:00,正常,,否,2,126.1,未出手,观望,错过 +126.1,0.0
2026-07-31,18:00,正常,,否,2,50.8,未出手,观望,错过 +50.8,0.0
2026-07-31,19:00,正常,,否,2,85.0,未出手,观望,错过 +85.0,0.0
2026-07-31,20:00,正常,,否,2,71.6,未出手,观望,错过 +71.6,0.0
2026-07-31,21:00,负偏差,-62.19,是,1,29.9,实际中性,日前买,中性 +29.9,-29.9
2026-07-31,22:00,正常,,否,2,27.4,未出手,观望,未出手,0.0
2026-07-31,23:00,负偏差,-50.17,是,1,19.8,实际中性,日前买,中性 +19.8,-19.8
2026-08-01,00:00,负偏差,-96.74,是,1,-5.5,实际中性,日前买,中性 -5.5,5.5
2026-08-01,01:00,负偏差,-79.89,是,1,7.2,实际中性,日前买,中性 +7.2,-7.2
2026-08-01,02:00,负偏差,-69.73,是,1,12.3,实际中性,日前买,中性 +12.3,-12.3
2026-08-01,03:00,正常,,否,2,16.1,未出手,观望,未出手,0.0
2026-08-01,04:00,正常,,否,2,9.3,未出手,观望,未出手,0.0
2026-08-01,05:00,负偏差,-63.92,是,1,13.3,实际中性,日前买,中性 +13.3,-13.3
2026-08-01,06:00,大负偏差,-112.11,是,0,5.9,实际中性,日前买,中性 +5.9,-5.9
2026-08-01,07:00,负偏差,-92.68,是,1,6.3,实际中性,日前买,中性 +6.3,-6.3
2026-08-01,08:00,负偏差,-66.54,是,1,28.7,实际中性,日前买,中性 +28.7,-28.7
2026-08-01,09:00,大负偏差,-100.67,是,0,39.7,实际中性,日前买,中性 +39.7,-39.7
2026-08-01,10:00,负偏差,-73.4,是,1,68.6,错·实际正,日前买,亏损 -68.6,-68.6
2026-08-01,11:00,大负偏差,-101.74,是,0,41.7,实际中性,日前买,中性 +41.7,-41.7
2026-08-01,12:00,负偏差,-85.27,是,1,73.3,错·实际正,日前买,亏损 -73.3,-73.3
2026-08-01,13:00,负偏差,-75.53,是,1,65.1,错·实际正,日前买,亏损 -65.1,-65.1
2026-08-01,14:00,负偏差,-79.32,是,1,52.6,错·实际正,日前买,亏损 -52.6,-52.6
2026-08-01,15:00,负偏差,-95.33,是,1,55.3,错·实际正,日前买,亏损 -55.3,-55.3
2026-08-01,16:00,负偏差,-77.83,是,1,13.0,实际中性,日前买,中性 +13.0,-13.0
2026-08-01,17:00,负偏差,-75.8,是,1,15.8,实际中性,日前买,中性 +15.8,-15.8
2026-08-01,18:00,正常,,否,2,-7.9,未出手,观望,未出手,0.0
2026-08-01,19:00,正常,,否,2,15.3,未出手,观望,未出手,0.0
2026-08-01,20:00,正常,,否,2,7.6,未出手,观望,未出手,0.0
2026-08-01,21:00,负偏差,-54.16,是,1,14.4,实际中性,日前买,中性 +14.4,-14.4
2026-08-01,22:00,负偏差,-86.16,是,1,7.8,实际中性,日前买,中性 +7.8,-7.8
2026-08-01,23:00,负偏差,-90.62,是,1,-1.9,实际中性,日前买,中性 -1.9,1.9
2026-08-02,00:00,负偏差,-93.66,是,1,-18.6,实际中性,日前买,中性 -18.6,18.6
2026-08-02,01:00,负偏差,-89.7,是,1,-2.8,实际中性,日前买,中性 -2.8,2.8
2026-08-02,02:00,负偏差,-94.83,是,1,-4.5,实际中性,日前买,中性 -4.5,4.5
2026-08-02,03:00,负偏差,-66.1,是,1,-1.8,实际中性,日前买,中性 -1.8,1.8
2026-08-02,04:00,正常,,否,2,-10.0,未出手,观望,未出手,0.0
2026-08-02,05:00,正常,,否,2,-25.1,未出手,观望,未出手,0.0
2026-08-02,06:00,负偏差,-50.41,是,1,-23.4,实际中性,日前买,中性 -23.4,23.4
2026-08-02,07:00,正常,,否,2,-44.2,未出手,观望,未出手,0.0
2026-08-02,08:00,正常,,否,2,-26.9,未出手,观望,未出手,0.0
2026-08-02,09:00,正常,,否,2,45.9,未出手,观望,未出手,0.0
2026-08-02,10:00,正常,,否,2,25.4,未出手,观望,未出手,0.0
2026-08-02,11:00,正常,,否,2,-9.9,未出手,观望,未出手,0.0
2026-08-02,12:00,正常,,否,2,-7.4,未出手,观望,未出手,0.0
2026-08-02,13:00,正常,,否,2,26.4,未出手,观望,未出手,0.0
2026-08-02,14:00,正常,,否,2,14.7,未出手,观望,未出手,0.0
2026-08-02,15:00,负偏差,-53.09,是,1,15.9,实际中性,日前买,中性 +15.9,-15.9
2026-08-02,16:00,正常,,否,2,21.7,未出手,观望,未出手,0.0
2026-08-02,17:00,正常,,否,2,11.2,未出手,观望,未出手,0.0
2026-08-02,18:00,正常,,否,2,7.4,未出手,观望,未出手,0.0
2026-08-02,19:00,负偏差,-83.83,是,1,5.8,实际中性,日前买,中性 +5.8,-5.8
2026-08-02,20:00,负偏差,-56.75,是,1,-4.0,实际中性,日前买,中性 -4.0,4.0
2026-08-02,21:00,负偏差,-80.87,是,1,2.5,实际中性,日前买,中性 +2.5,-2.5
2026-08-02,22:00,负偏差,-93.46,是,1,3.0,实际中性,日前买,中性 +3.0,-3.0
2026-08-02,23:00,负偏差,-95.03,是,1,-1.8,实际中性,日前买,中性 -1.8,1.8
2026-08-03,00:00,负偏差,-86.45,是,1,-7.3,实际中性,日前买,中性 -7.3,7.3
2026-08-03,01:00,负偏差,-55.6,是,1,-4.9,实际中性,日前买,中性 -4.9,4.9
2026-08-03,02:00,正常,,否,2,-1.0,未出手,观望,未出手,0.0
2026-08-03,03:00,正常,,否,2,2.8,未出手,观望,未出手,0.0
2026-08-03,04:00,正常,,否,2,4.8,未出手,观望,未出手,0.0
2026-08-03,05:00,正常,,否,2,17.9,未出手,观望,未出手,0.0
2026-08-03,06:00,正常,,否,2,10.1,未出手,观望,未出手,0.0
2026-08-03,07:00,正常,,否,2,4.3,未出手,观望,未出手,0.0
2026-08-03,08:00,正常,,否,2,0.4,未出手,观望,未出手,0.0
2026-08-03,09:00,正常,,否,2,-19.5,未出手,观望,未出手,0.0
2026-08-03,10:00,正常,,否,2,-2.1,未出手,观望,未出手,0.0
2026-08-03,11:00,正常,,否,2,34.2,未出手,观望,未出手,0.0
2026-08-03,12:00,正常,,否,2,52.1,未出手,观望,错过 +52.1,0.0
2026-08-03,13:00,正常,,否,2,22.0,未出手,观望,未出手,0.0
2026-08-03,14:00,正常,,否,2,-8.4,未出手,观望,未出手,0.0
2026-08-03,15:00,正常,,否,2,-14.0,未出手,观望,未出手,0.0
2026-08-03,16:00,正常,,否,2,-128.0,未出手,观望,错过 -128.0,0.0
2026-08-03,17:00,正常,,否,2,-117.6,未出手,观望,错过 -117.6,0.0
2026-08-03,18:00,正常,,否,2,-39.9,未出手,观望,未出手,0.0
2026-08-03,19:00,正常,,否,2,-73.6,未出手,观望,错过 -73.6,0.0
2026-08-03,20:00,负偏差,-81.8,是,1,-82.6,对·实际负,日前买,盈利 +82.6,82.6
2026-08-03,21:00,正常,,否,2,-11.9,未出手,观望,未出手,0.0
2026-08-03,22:00,负偏差,-74.59,是,1,-3.0,实际中性,日前买,中性 -3.0,3.0
2026-08-03,23:00,负偏差,-98.27,是,1,-10.8,实际中性,日前买,中性 -10.8,10.8
2026-08-04,00:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,01:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,02:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,03:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,04:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,05:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,06:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,07:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,08:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,09:00,正常,,否,2,,待实际,观望,待实际,
