日期,小时,模型方向,量级(元/MWh),置信度,小时先验,是否出手,交易建议,实际价差(元/MWh),方向核对,套利时机,套利结果,套利盈亏(元/MWh)
2026-07-29,00:00,负偏差,46.6,0.466,负,否,不动,23.9,未出手,观望,未出手,0.0
2026-07-29,01:00,中性,31.6,0.346,负,否,不动,20.3,未出手,观望,未出手,0.0
2026-07-29,02:00,中性,19.0,0.501,不明,否,不动,19.8,未出手,观望,未出手,0.0
2026-07-29,03:00,中性,13.1,0.562,正,否,不动,16.2,未出手,观望,未出手,0.0
2026-07-29,04:00,中性,12.3,0.576,正,否,不动,12.7,未出手,观望,未出手,0.0
2026-07-29,05:00,中性,8.4,0.63,正,否,不动,10.4,未出手,观望,未出手,0.0
2026-07-29,06:00,中性,13.9,0.552,不明,否,不动,22.4,未出手,观望,未出手,0.0
2026-07-29,07:00,中性,15.2,0.523,不明,否,不动,11.7,未出手,观望,未出手,0.0
2026-07-29,08:00,中性,26.2,0.468,不明,否,不动,20.5,未出手,观望,未出手,0.0
2026-07-29,09:00,中性,31.6,0.348,正,否,不动,42.0,未出手,观望,未出手,0.0
2026-07-29,10:00,正偏差,51.1,0.381,正,是,日前卖/实时买,66.2,对·实际正,日前卖,盈利 +66.2,66.2
2026-07-29,11:00,中性,49.5,0.355,正,否,不动,45.0,未出手,观望,未出手,0.0
2026-07-29,12:00,中性,49.7,0.384,正,否,不动,17.9,未出手,观望,未出手,0.0
2026-07-29,13:00,正偏差,51.0,0.395,不明,否,不动,57.3,未出手,观望,错过 +57.3,0.0
2026-07-29,14:00,正偏差,60.7,0.391,正,是,日前卖/实时买,69.8,对·实际正,日前卖,盈利 +69.8,69.8
2026-07-29,15:00,正偏差,40.6,0.358,正,否,不动,43.9,未出手,观望,未出手,0.0
2026-07-29,16:00,正偏差,47.1,0.38,正,否,不动,33.9,未出手,观望,未出手,0.0
2026-07-29,17:00,正偏差,53.4,0.444,不明,否,不动,-1.2,未出手,观望,未出手,0.0
2026-07-29,18:00,正偏差,55.4,0.381,不明,否,不动,9.5,未出手,观望,未出手,0.0
2026-07-29,19:00,正偏差,39.3,0.344,不明,否,不动,60.1,未出手,观望,错过 +60.1,0.0
2026-07-29,20:00,中性,36.3,0.408,不明,否,不动,53.4,未出手,观望,错过 +53.4,0.0
2026-07-29,21:00,中性,28.4,0.452,负,否,不动,17.0,未出手,观望,未出手,0.0
2026-07-29,22:00,中性,29.5,0.419,不明,否,不动,22.0,未出手,观望,未出手,0.0
2026-07-29,23:00,正偏差,21.4,0.382,负,否,不动,21.3,未出手,观望,未出手,0.0
2026-07-30,00:00,正偏差,23.2,0.46,负,否,不动,8.1,未出手,观望,未出手,0.0
2026-07-30,01:00,负偏差,18.9,0.402,负,否,不动,5.8,未出手,观望,未出手,0.0
2026-07-30,02:00,负偏差,16.3,0.408,不明,否,不动,-0.6,未出手,观望,未出手,0.0
2026-07-30,03:00,负偏差,20.7,0.426,正,否,不动,8.0,未出手,观望,未出手,0.0
2026-07-30,04:00,负偏差,17.1,0.43,正,否,不动,8.1,未出手,观望,未出手,0.0
2026-07-30,05:00,负偏差,19.2,0.44,正,否,不动,20.0,未出手,观望,未出手,0.0
2026-07-30,06:00,负偏差,31.0,0.419,不明,否,不动,6.4,未出手,观望,未出手,0.0
2026-07-30,07:00,负偏差,26.8,0.417,不明,否,不动,4.6,未出手,观望,未出手,0.0
2026-07-30,08:00,负偏差,30.4,0.43,不明,否,不动,30.3,未出手,观望,未出手,0.0
2026-07-30,09:00,负偏差,33.3,0.453,正,否,不动,53.5,未出手,观望,错过 +53.5,0.0
2026-07-30,10:00,负偏差,32.4,0.451,正,否,不动,49.8,未出手,观望,未出手,0.0
2026-07-30,11:00,负偏差,34.7,0.473,正,否,不动,41.5,未出手,观望,未出手,0.0
2026-07-30,12:00,负偏差,27.2,0.433,正,否,不动,21.5,未出手,观望,未出手,0.0
2026-07-30,13:00,负偏差,26.1,0.41,不明,否,不动,-161.4,未出手,观望,错过 -161.4,0.0
2026-07-30,14:00,负偏差,30.7,0.415,正,否,不动,-61.9,未出手,观望,错过 -61.9,0.0
2026-07-30,15:00,正偏差,26.6,0.46,正,否,不动,9.9,未出手,观望,未出手,0.0
2026-07-30,16:00,正偏差,32.7,0.459,正,否,不动,37.3,未出手,观望,未出手,0.0
2026-07-30,17:00,正偏差,38.5,0.436,不明,否,不动,31.9,未出手,观望,未出手,0.0
2026-07-30,18:00,正偏差,43.4,0.446,不明,否,不动,20.5,未出手,观望,未出手,0.0
2026-07-30,19:00,负偏差,42.8,0.476,不明,否,不动,54.9,未出手,观望,错过 +54.9,0.0
2026-07-30,20:00,负偏差,47.8,0.472,不明,否,不动,8.9,未出手,观望,未出手,0.0
2026-07-30,21:00,负偏差,51.3,0.476,负,是,日前买/实时卖,-2.3,实际中性,日前买,中性 -2.3,2.3
2026-07-30,22:00,负偏差,29.6,0.477,不明,否,不动,6.2,未出手,观望,未出手,0.0
2026-07-30,23:00,负偏差,14.9,0.456,负,否,不动,3.5,未出手,观望,未出手,0.0
2026-07-31,00:00,负偏差,32.2,0.505,负,否,不动,43.9,未出手,观望,未出手,0.0
2026-07-31,01:00,负偏差,25.7,0.482,负,否,不动,23.6,未出手,观望,未出手,0.0
2026-07-31,02:00,负偏差,19.4,0.424,不明,否,不动,15.8,未出手,观望,未出手,0.0
2026-07-31,03:00,负偏差,21.7,0.438,正,否,不动,34.5,未出手,观望,未出手,0.0
2026-07-31,04:00,负偏差,23.7,0.418,正,否,不动,20.3,未出手,观望,未出手,0.0
2026-07-31,05:00,负偏差,26.2,0.437,正,否,不动,21.1,未出手,观望,未出手,0.0
2026-07-31,06:00,负偏差,25.5,0.419,不明,否,不动,18.3,未出手,观望,未出手,0.0
2026-07-31,07:00,负偏差,32.1,0.425,不明,否,不动,44.2,未出手,观望,未出手,0.0
2026-07-31,08:00,负偏差,32.1,0.458,不明,否,不动,30.9,未出手,观望,未出手,0.0
2026-07-31,09:00,负偏差,30.1,0.424,正,否,不动,57.5,未出手,观望,错过 +57.5,0.0
2026-07-31,10:00,负偏差,38.0,0.399,正,否,不动,80.1,未出手,观望,错过 +80.1,0.0
2026-07-31,11:00,负偏差,33.0,0.415,正,否,不动,121.5,未出手,观望,错过 +121.5,0.0
2026-07-31,12:00,负偏差,32.9,0.391,正,否,不动,212.2,未出手,观望,错过 +212.2,0.0
2026-07-31,13:00,负偏差,26.4,0.411,不明,否,不动,96.7,未出手,观望,错过 +96.7,0.0
2026-07-31,14:00,负偏差,28.6,0.453,正,否,不动,31.0,未出手,观望,未出手,0.0
2026-07-31,15:00,负偏差,29.1,0.426,正,否,不动,45.6,未出手,观望,未出手,0.0
2026-07-31,16:00,正偏差,37.5,0.455,正,否,不动,96.0,未出手,观望,错过 +96.0,0.0
2026-07-31,17:00,负偏差,28.3,0.438,不明,否,不动,126.1,未出手,观望,错过 +126.1,0.0
2026-07-31,18:00,负偏差,30.1,0.414,不明,否,不动,50.8,未出手,观望,错过 +50.8,0.0
2026-07-31,19:00,负偏差,33.1,0.391,不明,否,不动,85.0,未出手,观望,错过 +85.0,0.0
