日期,小时,模型方向,量级(元/MWh),置信度,小时先验,是否出手,交易建议,实际价差(元/MWh),方向核对,套利时机,套利结果,套利盈亏(元/MWh)
2026-07-30,00:00,正偏差,23.0,0.441,负,否,不动,8.1,未出手,观望,未出手,0.0
2026-07-30,01:00,中性,21.9,0.415,负,否,不动,5.8,未出手,观望,未出手,0.0
2026-07-30,02:00,中性,9.9,0.582,不明,否,不动,-0.6,未出手,观望,未出手,0.0
2026-07-30,03:00,中性,12.7,0.585,正,否,不动,8.0,未出手,观望,未出手,0.0
2026-07-30,04:00,中性,11.0,0.605,正,否,不动,8.1,未出手,观望,未出手,0.0
2026-07-30,05:00,中性,8.9,0.612,正,否,不动,20.0,未出手,观望,未出手,0.0
2026-07-30,06:00,中性,10.7,0.616,不明,否,不动,6.4,未出手,观望,未出手,0.0
2026-07-30,07:00,中性,11.2,0.562,不明,否,不动,4.6,未出手,观望,未出手,0.0
2026-07-30,08:00,中性,17.5,0.559,不明,否,不动,30.3,未出手,观望,未出手,0.0
2026-07-30,09:00,中性,25.8,0.467,正,否,不动,53.5,未出手,观望,错过 +53.5,0.0
2026-07-30,10:00,负偏差,39.2,0.38,正,否,不动,49.8,未出手,观望,未出手,0.0
2026-07-30,11:00,中性,33.0,0.427,正,否,不动,41.5,未出手,观望,未出手,0.0
2026-07-30,12:00,中性,30.1,0.395,正,否,不动,21.5,未出手,观望,未出手,0.0
2026-07-30,13:00,中性,29.4,0.376,不明,否,不动,-161.4,未出手,观望,错过 -161.4,0.0
2026-07-30,14:00,正偏差,43.9,0.378,正,否,不动,-61.9,未出手,观望,错过 -61.9,0.0
2026-07-30,15:00,中性,39.7,0.368,正,否,不动,9.9,未出手,观望,未出手,0.0
2026-07-30,16:00,正偏差,40.5,0.399,正,否,不动,37.3,未出手,观望,未出手,0.0
2026-07-30,17:00,正偏差,38.4,0.404,不明,否,不动,31.9,未出手,观望,未出手,0.0
2026-07-30,18:00,正偏差,39.7,0.422,不明,否,不动,20.5,未出手,观望,未出手,0.0
2026-07-30,19:00,正偏差,37.7,0.357,不明,否,不动,54.9,未出手,观望,错过 +54.9,0.0
2026-07-30,20:00,中性,23.7,0.348,不明,否,不动,8.9,未出手,观望,未出手,0.0
2026-07-30,21:00,中性,27.7,0.394,负,否,不动,-2.3,未出手,观望,未出手,0.0
2026-07-30,22:00,中性,20.8,0.468,不明,否,不动,6.2,未出手,观望,未出手,0.0
2026-07-30,23:00,中性,13.1,0.502,负,否,不动,3.5,未出手,观望,未出手,0.0
2026-07-31,00:00,负偏差,32.2,0.505,负,否,不动,43.9,未出手,观望,未出手,0.0
2026-07-31,01:00,负偏差,25.7,0.482,负,否,不动,23.6,未出手,观望,未出手,0.0
2026-07-31,02:00,负偏差,19.4,0.424,不明,否,不动,15.8,未出手,观望,未出手,0.0
2026-07-31,03:00,负偏差,21.7,0.438,正,否,不动,34.5,未出手,观望,未出手,0.0
2026-07-31,04:00,负偏差,23.7,0.418,正,否,不动,20.3,未出手,观望,未出手,0.0
